country,region,total_forest_area_sqkm_2016,total_area_sqkm_2016,percent_fa_region_2016,total_forest_area_sqkm_1990,total_area_sqkm_1990,percent_fa_region_1990
Afghanistan,South Asia,13500,652860.005,2.06782463263315,13500,652860.005,2.06782463263315
Albania,Europe & Central Asia,7705.39978,27399.9985,28.1218985468193,7887.999878,27399.9985,28.7883222986308
Algeria,Middle East & North Africa,19635.99976,2381739.9907,0.824439268630197,16670,2381739.9907,0.69990847301097
American Samoa,East Asia & Pacific,175,199.9998,87.5000875000875,183.8999939,199.9998,91.9500889000889
Andorra,Europe & Central Asia,160,470.0073,34.0420244536627,160,470.0073,34.0420244536627
Angola,Sub-Saharan Africa,577311.9922,1246699.9965,46.3072105414897,609760,1246699.9965,48.909922331904
Antigua and Barbuda,Latin America & Caribbean,98.00000191,439.9892,22.2732744144629,103.0000019,439.9892,23.4096659418004
Argentina,Latin America & Caribbean,268151.9922,2736690.0113,9.79840577824964,347930,2736690.0113,12.7135334496553
Armenia,Europe & Central Asia,3322.000122,28470.0052,11.6684211986024,3350,28470.0052,11.7667698915629
Aruba,Latin America & Caribbean,4.199999869,180.005,2.33326844754312,4.199999869,180.005,2.33326844754312
Australia,East Asia & Pacific,1250590,7692019.9951,16.2582780699563,1285410,7682300.01,16.7320984383165
Austria,Europe & Central Asia,38708.00049,82522.9944,46.905714911867,37760,82580.0003,45.7253570632404
Azerbaijan,Europe & Central Asia,11656.19995,82670.0028,14.0996728622344,8520,83217.0108,10.2382913278111
"Bahamas, The",Latin America & Caribbean,5150,10009.9874,51.4486162090474,5150,10009.9874,51.4486162090474
Bahrain,Middle East & North Africa,6.100000143,778.0101,0.784051536477483,2.199999988,690.0019,0.318839700006623
Bangladesh,South Asia,14264.00024,130170.0071,10.9579776154134,14940,130170.0071,11.4772982907827
Barbados,Latin America & Caribbean,63.00000191,429.9918,14.6514426344874,63.00000191,429.9918,14.6514426344874
Belarus,Europe & Central Asia,86534.00391,202988.0125,42.6301055142357,77800,202839.994,38.3553551081253
Belgium,Europe & Central Asia,6838.400269,30280.0008,22.5838840433584,6670,,
Belize,Latin America & Caribbean,13612.80029,22810.0005,59.67908808244,16160.30029,22810.0005,70.8474350537607
Benin,Sub-Saharan Africa,42610,112760.0012,37.7882223718884,57610,112760.0012,51.090811801091
Bermuda,North America,10,54.0015,18.5180041295149,10,54.0015,18.5180041295149
Bhutan,South Asia,27648.50098,38143.9919,72.4845502601945,25067.09961,46723.0043,53.6504447553258
Bolivia,Latin America & Caribbean,544750,1083300.0045,50.2861624422711,627950,1083300.0045,57.9663987253311
Bosnia and Herzegovina,Europe & Central Asia,21850,51200.0006,42.6757807498932,22100,51200.0006,43.1640619941711
Botswana,Sub-Saharan Africa,107377.998,566729.9953,18.946941028445,137180,566729.9953,24.2055301709209
Brazil,Latin America & Caribbean,4925540,8358139.9972,58.9310540580807,5467050,8358139.9972,65.4098878677729
British Virgin Islands,Latin America & Caribbean,36.19999886,150.0128,24.131273371339,37.10000038,150.0128,24.7312231889545
Brunei Darussalam,East Asia & Pacific,3800,5270.0025,72.1062276535922,4130,5270.0025,78.3680842656147
Bulgaria,Europe & Central Asia,38401.99951,108560.0054,35.373984524507,33270,110630.0111,30.0732140123594
Burkina Faso,Sub-Saharan Africa,52902.00195,273600.0113,19.3355262299289,68470,273600.0113,25.0255837617358
Burundi,Sub-Saharan Africa,2806.000061,25680.0054,10.9267892171082,2890,25680.0054,11.2538917145243
Cabo Verde,Sub-Saharan Africa,908.6000061,4029.9882,22.5459718740616,577.5,4029.9882,14.3300667729002
Cambodia,East Asia & Pacific,93295.99609,176519.9996,52.85293241639,129440,176519.9996,73.3288014351434
Cameroon,Sub-Saharan Africa,185960,472709.9909,39.3391304562757,243160,472709.9909,51.4395728207572
Canada,North America,3470224.063,9093509.9948,38.1615466963186,3482730,9093509.9948,38.2990726572198
Cayman Islands,Latin America & Caribbean,126.9999981,239.9894,52.9190031309716,126.9999981,239.9894,52.9190031309716
Central African Republic,Sub-Saharan Africa,221544.0039,622980.0038,35.561976716531,225600,622980.0038,36.2130403261589
Chad,Sub-Saharan Africa,47483.99902,1259200.0099,3.77096558502815,67050,1259200.0099,5.32480936093106
Channel Islands,Europe & Central Asia,8.000000119,198.0055,4.04029187017532,8.000000119,198.0055,4.04029187017532
Chile,Latin America & Caribbean,180358.0078,743532.02,24.2569254515764,152630,743532.02,20.5276969779997
China,East Asia & Pacific,2098635,9388210.0109,22.3539417797793,1571405.938,9388250.0005,16.7380069546115
Colombia,Latin America & Caribbean,584750.1953,1109500.0042,52.7039380880067,644170,1109500.0042,58.0594860352863
Comoros,Sub-Saharan Africa,365.9999847,1860.9927,19.6669221056053,490,1860.9927,26.3300334278582
"Congo, Dem. Rep.",Sub-Saharan Africa,1522665.938,2267049.9992,67.1650796646444,1603630,2267049.9992,70.7364196010627
"Congo, Rep.",Sub-Saharan Africa,223185.9961,341499.9952,65.3546117824367,227260,341499.9952,66.5475851227772
Costa Rica,Latin America & Caribbean,27861.99951,51060.0111,54.5671630494417,25640,51060.0111,50.2154219077324
Cote d'Ivoire,Sub-Saharan Africa,104005.9961,317999.9928,32.7062888222808,102220,317999.9928,32.1446548158538
Croatia,Europe & Central Asia,19224.00024,55960.0062,34.3531059866108,18500,55909.9933,33.0888968287535
Cuba,Latin America & Caribbean,32536.00098,104019.9944,31.2786028952142,20580,107399.9962,19.1620118511699
Cyprus,Europe & Central Asia,1726.699982,9240.0063,18.6872165011403,1611.100006,9240.0063,17.4361353628081
Czech Republic,Europe & Central Asia,26690,77219.9953,34.5635866672994,26290,77270.0082,34.0235501618596
Denmark,Europe & Central Asia,6172.199707,41990.0124,14.6992090600097,5432.000122,42390.012,12.8143396656741
